FECHA,HORA,BJU
21/01/2018,19,42
21/01/2018,20,51
21/01/2018,21,30
21/01/2018,22,18
21/01/2018,23,10
21/01/2018,24,18
22/01/2018,1,21
22/01/2018,2,27
22/01/2018,3,22
22/01/2018,4,26
22/01/2018,5,28
22/01/2018,6,36
22/01/2018,7,47
22/01/2018,8,58
22/01/2018,9,66
22/01/2018,10,70
22/01/2018,11,82
22/01/2018,12,81
22/01/2018,13,67
22/01/2018,14,70
22/01/2018,15,50
22/01/2018,16,39
22/01/2018,17,43
22/01/2018,18,48
22/01/2018,19,52
22/01/2018,20,50
22/01/2018,21,117
22/01/2018,22,83
22/01/2018,23,66
22/01/2018,24,59
23/01/2018,1,55
23/01/2018,2,56
23/01/2018,3,51
23/01/2018,4,50
23/01/2018,5,48
23/01/2018,6,53
23/01/2018,7,62
23/01/2018,8,69
23/01/2018,9,82
23/01/2018,10,106
23/01/2018,11,109
23/01/2018,12,111
23/01/2018,13,114
23/01/2018,14,99
23/01/2018,15,78
23/01/2018,16,61
23/01/2018,17,53
23/01/2018,18,48
23/01/2018,19,54
23/01/2018,20,50
23/01/2018,21,42
23/01/2018,22,-99
23/01/2018,23,-99
23/01/2018,24,-99
24/01/2018,1,-99
24/01/2018,2,-99
24/01/2018,3,-99
24/01/2018,4,-99
24/01/2018,5,-99
24/01/2018,6,-99
24/01/2018,7,-99
24/01/2018,8,-99
24/01/2018,9,-99
24/01/2018,10,-99
24/01/2018,11,-99
24/01/2018,12,-99
24/01/2018,13,-99
24/01/2018,14,-99
24/01/2018,15,-99
24/01/2018,16,-99
24/01/2018,17,-99
24/01/2018,18,-99
24/01/2018,19,-99
24/01/2018,20,-99
24/01/2018,21,-99
24/01/2018,22,-99
24/01/2018,23,-99
24/01/2018,24,-99
25/01/2018,1,25
25/01/2018,2,14
25/01/2018,3,12
25/01/2018,4,11
25/01/2018,5,10
25/01/2018,6,10
25/01/2018,7,8
25/01/2018,8,15
25/01/2018,9,20
25/01/2018,10,31
25/01/2018,11,37
25/01/2018,12,47
25/01/2018,13,52
25/01/2018,14,56
25/01/2018,15,77
25/01/2018,16,79
25/01/2018,17,75
25/01/2018,18,77
25/01/2018,19,63
25/01/2018,20,42
25/01/2018,21,33
25/01/2018,22,28
25/01/2018,23,24
25/01/2018,24,18
26/01/2018,1,20
26/01/2018,2,25
26/01/2018,3,20
26/01/2018,4,27
26/01/2018,5,28
26/01/2018,6,21
26/01/2018,7,20
26/01/2018,8,39
26/01/2018,9,57
26/01/2018,10,66
26/01/2018,11,78
26/01/2018,12,85
26/01/2018,13,81
26/01/2018,14,61
26/01/2018,15,51
26/01/2018,16,55
26/01/2018,17,57
26/01/2018,18,47
26/01/2018,19,57
26/01/2018,20,72
26/01/2018,21,64
26/01/2018,22,41
26/01/2018,23,30
26/01/2018,24,35
27/01/2018,1,32
27/01/2018,2,35
27/01/2018,3,34
27/01/2018,4,24
27/01/2018,5,32
27/01/2018,6,32
27/01/2018,7,40
27/01/2018,8,52
27/01/2018,9,64
27/01/2018,10,58
27/01/2018,11,66
27/01/2018,12,70
27/01/2018,13,54
27/01/2018,14,63
27/01/2018,15,71
27/01/2018,16,71
27/01/2018,17,33
27/01/2018,18,37
27/01/2018,19,32
27/01/2018,20,35
27/01/2018,21,33
27/01/2018,22,27
27/01/2018,23,-99
27/01/2018,24,29
28/01/2018,1,34
28/01/2018,2,32
28/01/2018,3,30
28/01/2018,4,39
28/01/2018,5,40
28/01/2018,6,29
28/01/2018,7,22
28/01/2018,8,31
28/01/2018,9,28
28/01/2018,10,23
28/01/2018,11,25
28/01/2018,12,26
28/01/2018,13,23
28/01/2018,14,27
