FECHA,HORA,ATI,BJU,CUA,CUT,FAC
1/15/2020,19,82,31,63,98,91
1/15/2020,20,122,29,36,66,103
1/15/2020,21,73,45,48,67,99
1/15/2020,22,47,46,62,52,58
1/15/2020,23,48,34,46,54,48
1/15/2020,24,27,36,35,45,18
1/16/2020,1,18,33,43,32,21
1/16/2020,2,28,31,50,27,10
1/16/2020,3,14,28,45,26,22
1/16/2020,4,22,28,40,15,-99
1/16/2020,5,16,30,50,24,8
1/16/2020,6,18,36,43,53,40
1/16/2020,7,36,40,49,98,45
1/16/2020,8,97,47,49,59,51
1/16/2020,9,115,60,54,38,82
1/16/2020,10,85,69,-99,63,89
1/16/2020,11,71,79,-99,51,79
1/16/2020,12,92,70,113,53,-99
1/16/2020,13,49,63,81,48,-99
1/16/2020,14,31,74,78,53,53
1/16/2020,15,44,67,83,57,50
1/16/2020,16,36,53,46,57,31
1/16/2020,17,60,43,58,65,63
1/16/2020,18,73,24,34,87,38
1/16/2020,19,121,25,23,136,141
1/16/2020,20,84,54,66,57,132
1/16/2020,21,52,65,77,47,56
1/16/2020,22,40,37,59,39,41
1/16/2020,23,30,31,49,32,23
1/16/2020,24,22,26,44,23,22
1/17/2020,1,17,24,37,20,16
1/17/2020,2,20,21,39,14,13
1/17/2020,3,17,23,30,30,-99
1/17/2020,4,20,25,31,31,-99
1/17/2020,5,15,25,29,23,-99
1/17/2020,6,22,25,26,25,-99
1/17/2020,7,25,30,31,22,23
1/17/2020,8,41,33,40,58,58
1/17/2020,9,77,50,32,137,88
1/17/2020,10,53,54,40,92,54
1/17/2020,11,67,61,41,56,73
1/17/2020,12,71,47,62,46,39
1/17/2020,13,53,37,67,20,1
1/17/2020,14,11,39,45,36,20
1/17/2020,15,21,32,41,46,13
1/17/2020,16,31,30,16,51,25
1/17/2020,17,26,22,18,40,-99
1/17/2020,18,17,19,13,59,20
1/17/2020,19,29,18,23,80,29
1/17/2020,20,43,22,39,74,58
1/17/2020,21,42,27,26,77,37
1/17/2020,22,70,33,25,73,45
1/17/2020,23,41,32,26,47,51
1/17/2020,24,13,29,19,43,28
1/18/2020,1,11,25,39,56,17
1/18/2020,2,18,21,21,47,23
1/18/2020,3,19,15,29,30,12
1/18/2020,4,16,17,33,36,16
1/18/2020,5,29,23,24,52,8
1/18/2020,6,31,29,38,46,19
1/18/2020,7,35,42,35,50,21
1/18/2020,8,39,46,36,73,39
1/18/2020,9,58,69,35,136,63
1/18/2020,10,59,85,32,62,57
1/18/2020,11,71,81,46,53,74
1/18/2020,12,42,66,36,51,17
1/18/2020,13,27,51,23,40,35
1/18/2020,14,18,38,41,53,13
1/18/2020,15,30,38,44,41,35
1/18/2020,16,44,36,48,58,43
1/18/2020,17,62,42,29,149,49
1/18/2020,18,105,65,79,56,-99
1/18/2020,19,64,40,81,45,-99
1/18/2020,20,76,28,31,42,-99
1/18/2020,21,31,21,26,35,-99
1/18/2020,22,7,13,-99,16,-99
1/18/2020,23,11,14,25,15,-99
1/18/2020,24,11,13,13,20,-99
1/19/2020,1,8,14,18,29,-99
1/19/2020,2,8,19,14,32,-99
1/19/2020,3,8,20,19,26,-99
1/19/2020,4,21,20,16,8,-99
1/19/2020,5,5,26,17,29,-99
1/19/2020,6,11,18,23,28,-99
1/19/2020,7,15,19,8,33,-99
1/19/2020,8,10,17,16,23,-99
1/19/2020,9,36,18,13,19,-99
1/19/2020,10,26,15,15,7,-99
1/19/2020,11,3,14,7,12,-99
1/19/2020,12,10,17,8,15,-99
1/19/2020,13,19,23,13,13,-99
1/19/2020,14,1,21,18,11,-99
1/19/2020,15,18,28,12,18,-99
1/19/2020,16,21,13,28,11,-99
1/19/2020,17,17,10,29,3,-99
1/19/2020,18,5,23,12,6,-99
1/19/2020,19,14,27,14,3,-99
1/19/2020,20,-99,-99,-99,4,-99
1/19/2020,21,-99,-99,-99,10,-99
1/19/2020,22,-99,-99,-99,12,-99
1/19/2020,23,-99,-99,-99,7,-99
1/19/2020,24,-99,-99,-99,3,-99
1/20/2020,1,-99,-99,-99,-99,-99
1/20/2020,2,-99,-99,-99,-99,-99
1/20/2020,3,-99,-99,-99,-99,-99
1/20/2020,4,-99,-99,-99,3,-99
1/20/2020,5,12,-99,-99,5,-99
1/20/2020,6,11,11,-99,13,-99
1/20/2020,7,14,22,-99,26,-99
1/20/2020,8,11,29,-99,35,-99
1/20/2020,9,12,27,-99,26,-99
1/20/2020,10,18,27,9,27,-99
1/20/2020,11,14,27,19,18,-99
1/20/2020,12,18,35,15,4,-99
